employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed,shift_length_minutes,lunch_needed,violation_reason,violation_flag
E001,2024-07-01,1900-01-01 06:01:00,1900-01-01 10:28:55,1900-01-01 10:58:55,1900-01-01 15:01:00,False,540.0,True,no_violation,False
E001,2024-07-02,1900-01-01 09:02:00,1900-01-01 13:12:40,1900-01-01 13:42:40,1900-01-01 17:02:00,True,480.0,True,no_violation,False
E001,2024-07-04,1900-01-01 08:09:00,1900-01-01 13:58:07,1900-01-01 14:28:07,1900-01-01 14:09:00,True,360.0,False,no_violation,False
E001,2024-07-05,1900-01-01 08:51:00,1900-01-01 14:14:11,1900-01-01 14:44:11,1900-01-01 16:51:00,True,480.0,True,no_violation,False
E001,2024-07-08,1900-01-01 08:36:00,1900-01-01 13:56:19,,1900-01-01 17:36:00,True,540.0,True,no_violation,False
E001,2024-07-09,1900-01-01 06:24:00,1900-01-01 11:15:41,1900-01-01 11:45:41,1900-01-01 11:24:00,False,300.0,True,no_violation,False
E001,2024-07-10,1900-01-01 06:38:00,1900-01-01 11:38:53,1900-01-01 12:08:53,1900-01-01 15:38:00,True,540.0,True,no_violation,False
E001,2024-07-11,1900-01-01 07:43:00,1900-01-01 13:19:05,1900-01-01 13:49:05,1900-01-01 16:43:00,False,540.0,True,late_lunch_no_waiver,True
E001,2024-07-12,1900-01-01 06:13:00,1900-01-01 10:37:14,,1900-01-01 12:13:00,False,360.0,True,no_violation,False
E001,2024-07-15,1900-01-01 07:47:00,1900-01-01 13:12:09,1900-01-01 13:42:09,1900-01-01 12:47:00,False,300.0,True,late_lunch_no_waiver,True
E001,2024-07-16,1900-01-01 09:05:00,1900-01-01 14:43:09,1900-01-01 15:13:09,1900-01-01 14:05:00,True,300.0,False,no_violation,False
E001,2024-07-17,1900-01-01 09:38:00,1900-01-01 14:38:19,1900-01-01 15:08:19,1900-01-01 16:38:00,False,420.0,True,late_lunch_no_waiver,True
E001,2024-07-18,1900-01-01 08:49:00,1900-01-01 13:01:43,1900-01-01 13:31:43,1900-01-01 17:49:00,False,540.0,True,no_violation,False
E001,2024-07-19,1900-01-01 07:32:00,1900-01-01 13:11:14,,1900-01-01 13:32:00,True,360.0,False,no_violation,False
E001,2024-07-22,1900-01-01 06:38:00,1900-01-01 11:33:42,1900-01-01 12:03:42,1900-01-01 11:38:00,False,300.0,True,no_violation,False
E001,2024-07-23,1900-01-01 06:15:00,1900-01-01 10:24:45,1900-01-01 10:54:45,1900-01-01 11:15:00,True,300.0,False,no_violation,False
E001,2024-07-24,1900-01-01 09:35:00,1900-01-01 14:05:12,1900-01-01 14:35:12,1900-01-01 14:35:00,True,300.0,False,no_violation,False
E001,2024-07-25,1900-01-01 07:45:00,1900-01-01 12:30:29,1900-01-01 13:00:29,1900-01-01 16:45:00,False,540.0,True,no_violation,False
E001,2024-07-26,1900-01-01 07:04:00,1900-01-01 11:06:23,1900-01-01 11:36:23,1900-01-01 12:04:00,False,300.0,True,no_violation,False
E001,2024-07-29,1900-01-01 07:04:00,,,1900-01-01 11:04:00,True,240.0,False,no_violation,False
E001,2024-07-30,1900-01-01 08:42:00,1900-01-01 13:06:25,1900-01-01 13:36:25,1900-01-01 13:42:00,False,300.0,True,no_violation,False
E001,2024-07-31,1900-01-01 09:12:00,1900-01-01 13:23:03,1900-01-01 13:53:03,1900-01-01 16:12:00,True,420.0,True,no_violation,False
E002,2024-07-01,1900-01-01 06:03:00,1900-01-01 11:26:00,1900-01-01 11:56:00,1900-01-01 15:03:00,False,540.0,True,late_lunch_no_waiver,True
E002,2024-07-02,1900-01-01 09:11:00,1900-01-01 14:03:44,1900-01-01 14:33:44,1900-01-01 14:11:00,False,300.0,True,no_violation,False
E002,2024-07-03,1900-01-01 06:41:00,,,1900-01-01 10:41:00,True,240.0,False,no_violation,False
